,State,Year,Quater,Disrict,Reg_users
8942,gopalganj district,2022,4,gopalganj district,544789
8943,lakhisarai district,2022,4,lakhisarai district,184080
8944,aurangabad district,2022,4,aurangabad district,476502
8945,kaimur bhabua district,2022,4,kaimur bhabua district,261997
8946,araria district,2022,4,araria district,434826
8947,munger district,2022,4,munger district,293955
8948,katihar district,2022,4,katihar district,516972
8949,khagaria district,2022,4,khagaria district,282678
8950,saharsa district,2022,4,saharsa district,354933
8951,bhagalpur district,2022,4,bhagalpur district,717627
8952,madhubani district,2022,4,madhubani district,790218
8953,kishanganj district,2022,4,kishanganj district,254250
8954,gaya district,2022,4,gaya district,902593
8955,samastipur district,2022,4,samastipur district,793296
8956,banka district,2022,4,banka district,270790
8957,purbi champaran district,2022,4,purbi champaran district,1079466
8958,sheohar district,2022,4,sheohar district,93194
8959,bhojpur district,2022,4,bhojpur district,530042
8960,chandigarh district,2018,1,chandigarh district,86268
8961,chandigarh district,2018,1,chandigarh district,86268
8962,chandigarh district,2018,1,chandigarh district,86268
8963,chandigarh district,2018,1,chandigarh district,86268
8964,chandigarh district,2018,2,chandigarh district,115219
8965,chandigarh district,2018,2,chandigarh district,115219
8966,chandigarh district,2018,2,chandigarh district,115219
8967,chandigarh district,2018,2,chandigarh district,115219
8968,chandigarh district,2018,3,chandigarh district,143893
8969,chandigarh district,2018,3,chandigarh district,143893
8970,chandigarh district,2018,3,chandigarh district,143893
8971,chandigarh district,2018,3,chandigarh district,143893
8972,chandigarh district,2018,4,chandigarh district,177747
8973,chandigarh district,2018,4,chandigarh district,177747
8974,chandigarh district,2018,4,chandigarh district,177747
8975,chandigarh district,2018,4,chandigarh district,177747
8976,chandigarh district,2019,1,chandigarh district,209175
8977,chandigarh district,2019,1,chandigarh district,209175
8978,chandigarh district,2019,1,chandigarh district,209175
8979,chandigarh district,2019,1,chandigarh district,209175
8980,chandigarh district,2019,2,chandigarh district,240439
8981,chandigarh district,2019,2,chandigarh district,240439
8982,chandigarh district,2019,2,chandigarh district,240439
8983,chandigarh district,2019,2,chandigarh district,240439
8984,chandigarh district,2019,3,chandigarh district,267337
8985,chandigarh district,2019,3,chandigarh district,267337
8986,chandigarh district,2019,3,chandigarh district,267337
8987,chandigarh district,2019,3,chandigarh district,267337
8988,chandigarh district,2019,4,chandigarh district,289590
8989,chandigarh district,2019,4,chandigarh district,289590
8990,chandigarh district,2019,4,chandigarh district,289590
8991,chandigarh district,2019,4,chandigarh district,289590
8992,chandigarh district,2020,1,chandigarh district,312887
8993,chandigarh district,2020,1,chandigarh district,312887
8994,chandigarh district,2020,1,chandigarh district,312887
8995,chandigarh district,2020,1,chandigarh district,312887
8996,chandigarh district,2020,2,chandigarh district,336351
8997,chandigarh district,2020,2,chandigarh district,336351
8998,chandigarh district,2020,2,chandigarh district,336351
8999,chandigarh district,2020,2,chandigarh district,336351
9000,chandigarh district,2020,3,chandigarh district,362588
9001,chandigarh district,2020,3,chandigarh district,362588
9002,chandigarh district,2020,3,chandigarh district,362588
9003,chandigarh district,2020,3,chandigarh district,362588
9004,chandigarh district,2020,4,chandigarh district,391402
9005,chandigarh district,2020,4,chandigarh district,391402
9006,chandigarh district,2020,4,chandigarh district,391402
9007,chandigarh district,2020,4,chandigarh district,391402
9008,chandigarh district,2021,1,chandigarh district,419998
9009,chandigarh district,2021,1,chandigarh district,419998
9010,chandigarh district,2021,1,chandigarh district,419998
9011,chandigarh district,2021,1,chandigarh district,419998
9012,chandigarh district,2021,2,chandigarh district,448572
9013,chandigarh district,2021,2,chandigarh district,448572
9014,chandigarh district,2021,2,chandigarh district,448572
9015,chandigarh district,2021,2,chandigarh district,448572
9016,chandigarh district,2021,3,chandigarh district,480463
9017,chandigarh district,2021,3,chandigarh district,480463
9018,chandigarh district,2021,3,chandigarh district,480463
9019,chandigarh district,2021,3,chandigarh district,480463
9020,chandigarh district,2021,4,chandigarh district,512092
9021,chandigarh district,2021,4,chandigarh district,512092
9022,chandigarh district,2021,4,chandigarh district,512092
9023,chandigarh district,2021,4,chandigarh district,512092
9024,chandigarh district,2022,1,chandigarh district,541549
9025,chandigarh district,2022,1,chandigarh district,541549
9026,chandigarh district,2022,1,chandigarh district,541549
9027,chandigarh district,2022,1,chandigarh district,541549
9028,chandigarh district,2022,2,chandigarh district,569582
9029,chandigarh district,2022,2,chandigarh district,569582
9030,chandigarh district,2022,2,chandigarh district,569582
9031,chandigarh district,2022,2,chandigarh district,569582
9032,chandigarh district,2022,3,chandigarh district,598698
9033,chandigarh district,2022,3,chandigarh district,598698
9034,chandigarh district,2022,3,chandigarh district,598698
9035,chandigarh district,2022,3,chandigarh district,598698
9036,chandigarh district,2022,4,chandigarh district,627563
9037,chandigarh district,2022,4,chandigarh district,627563
9038,chandigarh district,2022,4,chandigarh district,627563
9039,chandigarh district,2022,4,chandigarh district,627563
9040,dhamtari district,2018,1,dhamtari district,15571
9041,korba district,2018,1,korba district,39075
9042,surajpur district,2018,1,surajpur district,12279
9043,baloda bazar district,2018,1,baloda bazar district,21747
9044,sukma district,2018,1,sukma district,3205
9045,raigarh district,2018,1,raigarh district,51628
9046,janjgir champa district,2018,1,janjgir champa district,42297
9047,jashpur district,2018,1,jashpur district,12420
9048,balod district,2018,1,balod district,13500
9049,kabirdham district,2018,1,kabirdham district,10892
9050,surguja district,2018,1,surguja district,22001
9051,dantewada district,2018,1,dantewada district,4894
9052,gariyaband district,2018,1,gariyaband district,8679
9053,durg district,2018,1,durg district,91516
9054,rajnandgaon district,2018,1,rajnandgaon district,26295
9055,raipur district,2018,1,raipur district,135308
9056,narayanpur district,2018,1,narayanpur district,1768
9057,kanker district,2018,1,kanker district,10256
9058,korea district,2018,1,korea district,15517
9059,mungeli district,2018,1,mungeli district,7387
9060,bilaspur district,2018,1,bilaspur district,68704
9061,balrampur district,2018,1,balrampur district,9313
9062,bijapur district,2018,1,bijapur district,3606
9063,bemetara district,2018,1,bemetara district,12283
9064,bastar district,2018,1,bastar district,13889
9065,kondagaon district,2018,1,kondagaon district,5625
9066,mahasamund district,2018,1,mahasamund district,19608
9067,dhamtari district,2018,1,dhamtari district,15571
9068,korba district,2018,1,korba district,39075
9069,surajpur district,2018,1,surajpur district,12279
9070,baloda bazar district,2018,1,baloda bazar district,21747
9071,sukma district,2018,1,sukma district,3205
9072,raigarh district,2018,1,raigarh district,51628
9073,janjgir champa district,2018,1,janjgir champa district,42297
9074,jashpur district,2018,1,jashpur district,12420
9075,balod district,2018,1,balod district,13500
9076,kabirdham district,2018,1,kabirdham district,10892
9077,surguja district,2018,1,surguja district,22001
9078,dantewada district,2018,1,dantewada district,4894
9079,gariyaband district,2018,1,gariyaband district,8679
9080,durg district,2018,1,durg district,91516
9081,rajnandgaon district,2018,1,rajnandgaon district,26295
9082,raipur district,2018,1,raipur district,135308
9083,narayanpur district,2018,1,narayanpur district,1768
9084,kanker district,2018,1,kanker district,10256
9085,korea district,2018,1,korea district,15517
9086,mungeli district,2018,1,mungeli district,7387
9087,bilaspur district,2018,1,bilaspur district,68704
9088,balrampur district,2018,1,balrampur district,9313
9089,bijapur district,2018,1,bijapur district,3606
9090,bemetara district,2018,1,bemetara district,12283
9091,bastar district,2018,1,bastar district,13889
9092,kondagaon district,2018,1,kondagaon district,5625
9093,mahasamund district,2018,1,mahasamund district,19608
9094,dhamtari district,2018,1,dhamtari district,15571
9095,korba district,2018,1,korba district,39075
9096,surajpur district,2018,1,surajpur district,12279
9097,baloda bazar district,2018,1,baloda bazar district,21747
9098,sukma district,2018,1,sukma district,3205
9099,raigarh district,2018,1,raigarh district,51628
9100,janjgir champa district,2018,1,janjgir champa district,42297
9101,jashpur district,2018,1,jashpur district,12420
9102,balod district,2018,1,balod district,13500
9103,kabirdham district,2018,1,kabirdham district,10892
9104,surguja district,2018,1,surguja district,22001
9105,dantewada district,2018,1,dantewada district,4894
9106,gariyaband district,2018,1,gariyaband district,8679
9107,durg district,2018,1,durg district,91516
9108,rajnandgaon district,2018,1,rajnandgaon district,26295
9109,raipur district,2018,1,raipur district,135308
9110,narayanpur district,2018,1,narayanpur district,1768
9111,kanker district,2018,1,kanker district,10256
9112,korea district,2018,1,korea district,15517
9113,mungeli district,2018,1,mungeli district,7387
9114,bilaspur district,2018,1,bilaspur district,68704
9115,balrampur district,2018,1,balrampur district,9313
9116,bijapur district,2018,1,bijapur district,3606
9117,bemetara district,2018,1,bemetara district,12283
9118,bastar district,2018,1,bastar district,13889
9119,kondagaon district,2018,1,kondagaon district,5625
9120,mahasamund district,2018,1,mahasamund district,19608
9121,dhamtari district,2018,1,dhamtari district,15571
9122,korba district,2018,1,korba district,39075
9123,surajpur district,2018,1,surajpur district,12279
9124,baloda bazar district,2018,1,baloda bazar district,21747
9125,sukma district,2018,1,sukma district,3205
9126,raigarh district,2018,1,raigarh district,51628
9127,janjgir champa district,2018,1,janjgir champa district,42297
9128,jashpur district,2018,1,jashpur district,12420
9129,balod district,2018,1,balod district,13500
9130,kabirdham district,2018,1,kabirdham district,10892
9131,surguja district,2018,1,surguja district,22001
9132,dantewada district,2018,1,dantewada district,4894
9133,gariyaband district,2018,1,gariyaband district,8679
9134,durg district,2018,1,durg district,91516
9135,rajnandgaon district,2018,1,rajnandgaon district,26295
9136,raipur district,2018,1,raipur district,135308
9137,narayanpur district,2018,1,narayanpur district,1768
9138,kanker district,2018,1,kanker district,10256
9139,korea district,2018,1,korea district,15517
9140,mungeli district,2018,1,mungeli district,7387
9141,bilaspur district,2018,1,bilaspur district,68704
9142,balrampur district,2018,1,balrampur district,9313
9143,bijapur district,2018,1,bijapur district,3606
9144,bemetara district,2018,1,bemetara district,12283
9145,bastar district,2018,1,bastar district,13889
9146,kondagaon district,2018,1,kondagaon district,5625
